id,t,patientAMKA,doctorAMKA,diagnosis
384,2017-01-02 16:05:03,4405698834412318,36756544512499,S2223XB
385,2017-01-02 16:06:41,4844847886974621,5100177349948590,O2491
387,2017-01-02 16:11:42,3577114691906941,3537844417030308,S82399F
389,2017-01-02 16:19:58,3534628226762216,3537859511007622,M25262
390,2017-01-02 16:38:11,3563376955016040,201976947992697,S82032C
391,2017-01-02 16:38:54,3556302141816084,3537859511007622,
392,2017-01-02 16:44:53,5602251378916084,6304745877947815701,H159
393,2017-01-02 16:50:35,3548369864008109,30417115040586,
394,2017-01-02 16:51:38,5490049260048619,63048034991073397,
395,2017-01-02 16:53:26,3569077226721814,30417115040586,K449
396,2017-01-02 17:09:22,6761399593491840,5100138761745641,S82032C
398,2017-01-02 17:15:21,3587605375358430,5100138761745641,
399,2017-01-02 17:16:15,3543986963386113,3549504964126885,
400,2017-01-02 17:21:56,3543593353862487,372301064587696,L230
401,2017-01-02 17:23:17,676388520077252241,30400751029246,S52282F
403,2017-01-02 17:39:41,6759689231338624921,6304745877947815701,W1841
404,2017-01-02 17:43:11,3541122963996071,3533987886801784,S6699
405,2017-01-02 17:45:53,4913529349077038,30400751029246,
406,2017-01-02 17:53:43,3562152859902762,374622986283793,M1A079
407,2017-01-02 18:02:39,3533685589303013,36756544512499,L02225
408,2017-01-02 18:03:07,5108750411580657,3538166810727911,
409,2017-01-02 18:08:26,3559276216221080,374283551924806,Y36040
410,2017-01-02 18:19:48,201558896307968,63048034991073397,L02225
413,2017-01-02 18:43:34,490367893136716410,5100138761745641,S82871E
414,2017-01-02 18:44:13,4026445410484454,63048034991073397,H159
415,2017-01-02 18:55:16,3534430614788782,4844890553480605,V1900
417,2017-01-02 19:05:05,4905276630746778,5100138761745641,
420,2017-01-02 19:14:00,4017952310401158,30400751029246,S56493
421,2017-01-02 19:16:26,3567367932553383,6042728556976184,M7501
423,2017-01-02 19:28:59,5101210558308443,5100177349948590,M3504
427,2017-01-02 19:42:02,5474174794295542,374622986283793,V1900
429,2017-01-02 19:50:27,4405698834412318,3549504964126885,
430,2017-01-02 19:52:43,3547464121271359,30417115040586,S82032C
431,2017-01-02 19:53:43,4017952310401158,6042728556976184,S1121XS
434,2017-01-02 20:07:39,3589991157426837,36756544512499,H52532
435,2017-01-02 20:09:52,3568879343840745,374288783393498,W9411XS
437,2017-01-02 20:20:13,3562581228638972,3565165312704283,H159
438,2017-01-02 20:26:22,3544921125853998,63048034991073397,S2223XB
440,2017-01-02 20:42:45,30267940959348,374622986283793,
442,2017-01-02 20:53:13,4911728019542783001,6042728556976184,S83134A
443,2017-01-02 21:01:26,3573755289215279,5100138761745641,T81516S
444,2017-01-02 21:10:34,564182993618217039,63048034991073397,W9411XS
445,2017-01-02 21:12:57,372301964842423,201976947992697,W9411XS
447,2017-01-02 21:19:18,3537866689172849,6304161666376116,
448,2017-01-02 21:19:21,3548308544801913,5100138761745641,
449,2017-01-02 21:23:01,3561671576016672,374622986283793,
450,2017-01-02 21:24:27,493637817456510085,6304161666376116,
451,2017-01-02 21:29:18,3579755875522215,30417115040586,L230
454,2017-01-02 21:41:59,6761399593491840,4913457862323862,
455,2017-01-02 21:48:32,3541012807041970,5602233538436732,S82032C
456,2017-01-02 21:50:34,5602217136669216,5100177349948590,
457,2017-01-02 22:06:12,376795164613185,6042728556976184,S83134A
458,2017-01-02 22:12:51,3536845537931342,4986101036974,V1900
460,2017-01-02 22:27:02,3572723654780377,30417115040586,S2223XB
461,2017-01-02 22:30:15,633110634535951652,6042728556976184,
462,2017-01-02 22:30:16,5602225570946651,3537844417030308,S82032C
463,2017-01-02 22:34:00,3576056804871473,6331101528239306450,M25262
464,2017-01-02 22:34:25,3568879343840745,63048034991073397,L02225
466,2017-01-02 22:38:58,3575678313891618,3533987886801784,S82399F
467,2017-01-02 22:42:40,3539882982825718,30400751029246,S62643S
468,2017-01-02 22:45:54,36809324441726,3538166810727911,S82032C
470,2017-01-02 22:48:54,4911916079353036222,5602233538436732,M3504
471,2017-01-02 23:02:43,3561705755637245,3537844417030308,
473,2017-01-02 23:29:25,3576656471906450,5602233538436732,S63281S
475,2017-01-02 23:54:25,5010122302998793,5100177349948590,S1121XS
477,2017-01-03 00:14:10,560223098045681523,63048034991073397,
478,2017-01-03 00:18:45,3534564363067319,3565165312704283,
480,2017-01-03 00:24:30,633110909821425367,3528546887247160,
481,2017-01-03 00:29:59,4903009186673233,3549504964126885,S6699
482,2017-01-03 00:40:18,3533641183570309,30400751029246,S52613B
483,2017-01-03 00:44:23,3537098366414795,3538166810727911,M3504
485,2017-01-03 01:03:10,4844170190332877,6042728556976184,
486,2017-01-03 01:04:05,3564076008782866,5602233538436732,M7501
487,2017-01-03 01:04:20,5007663995533756,4913781114412342,S6980XS
488,2017-01-03 01:09:06,5018899506386857657,3537844417030308,W1841
490,2017-01-03 01:21:06,3562071418069220,201976947992697,L230
491,2017-01-03 01:29:34,3530112096977711,372301064587696,Y36040
492,2017-01-03 01:32:13,3583619962429359,6331101528239306450,
493,2017-01-03 01:34:03,3586896203030363,3565165312704283,
495,2017-01-03 01:49:46,3581339435042307,6304161666376116,
496,2017-01-03 02:11:58,560223098045681523,3533987886801784,O2491
497,2017-01-03 02:16:57,3559276216221080,372301064587696,S82032C
498,2017-01-03 02:28:37,630460772276904605,3533987886801784,W1841
499,2017-01-03 02:56:57,630460772276904605,3531589109644678,H159
500,2017-01-03 03:07:38,3554169654704920,6331101528239306450,
504,2017-01-03 03:40:01,201789084024921,5602233538436732,
505,2017-01-03 03:41:35,5610081564724897,3528546887247160,S52282F
506,2017-01-03 03:53:48,67064861156278134,374622986283793,S56493
508,2017-01-03 04:01:13,6381978379543344,63048034991073397,
510,2017-01-03 04:05:12,3576454255332519,30417115040586,
513,2017-01-03 04:18:00,201646692091835,374288783393498,S63281S
515,2017-01-03 04:31:08,5108754830720019,3565872852409203,S83134A
516,2017-01-03 04:36:19,5100145798892023,3533987886801784,S6699
519,2017-01-03 04:56:18,676306553303895698,5100138761745641,
520,2017-01-03 04:58:36,3554431981273072,374622986283793,S83134A
521,2017-01-03 04:59:18,374622298405712,3533987886801784,O2491
523,2017-01-03 05:03:59,5602223679431287,3538166810727911,H52532
524,2017-01-03 05:06:25,5100139614058133,6304161666376116,T81516S
525,2017-01-03 05:26:31,5567949240383630,3528546887247160,S6980XS
526,2017-01-03 05:28:16,5100140699573327,374283551924806,
528,2017-01-03 05:30:55,3536481608222245,3533987886801784,S6980XS
529,2017-01-03 05:39:50,5641821863078310,3531589109644678,L02225
530,2017-01-03 05:42:06,6759295021711342,3533987886801784,
531,2017-01-03 05:45:07,3548726848606565,4913781114412342,
534,2017-01-03 06:22:53,5602215389554408,6331101528239306450,
536,2017-01-03 06:43:43,5641826963696853255,30400751029246,V1900
537,2017-01-03 06:45:50,3562160967913423,5100177349948590,H52532
539,2017-01-03 06:51:45,36809324441726,30417115040586,O2491
540,2017-01-03 06:51:57,4913828761168204,4844890553480605,
541,2017-01-03 07:01:33,3564113919384530,3549504964126885,S6699
543,2017-01-03 07:27:45,3540001569592511,3537844417030308,
544,2017-01-03 07:41:17,30218558569259,372301064587696,S2223XB
546,2017-01-03 07:54:43,3573420340583260,6304745877947815701,
547,2017-01-03 08:04:04,201545641463394,3537859511007622,W9411XS
550,2017-01-03 08:14:13,6379762040191863,3533987886801784,Y36040
552,2017-01-03 08:44:03,374283029196086,3549504964126885,
553,2017-01-03 08:44:05,5602233146103583,3533987886801784,O2491
554,2017-01-03 08:48:20,341014040420571,374288783393498,
555,2017-01-03 08:48:46,5527735871206219,201976947992697,H52532
557,2017-01-03 09:08:21,372301478092796,5602233538436732,
558,2017-01-03 09:21:30,4175005540787389,3538166810727911,S82871E
560,2017-01-03 09:27:36,589386708913085787,6304161666376116,S6699
561,2017-01-03 09:29:08,3538632995344715,4844890553480605,
563,2017-01-03 09:30:17,5602233296852286,5602233538436732,M7501
564,2017-01-03 09:41:25,3532801966679724,3537844417030308,M7501
566,2017-01-03 09:49:55,67715980542135288,63048034991073397,S2223XB
569,2017-01-03 10:05:41,3581513119463118,5602233538436732,
570,2017-01-03 10:05:56,560223134707985181,4913781114412342,Y36040
571,2017-01-03 10:13:01,3529327676458733,30417115040586,
572,2017-01-03 10:15:24,5572378628150184,3531589109644678,S82399F
573,2017-01-03 10:17:27,3587140032153115,3531589109644678,S2223XB
576,2017-01-03 10:23:34,4936641709147655023,3531589109644678,
577,2017-01-03 10:26:26,3564403847487400,3538166810727911,V1900
579,2017-01-03 11:10:13,3576056804871473,3531589109644678,M3504
584,2017-01-03 11:57:10,6334221695988918105,3537844417030308,
585,2017-01-03 12:15:03,201976486754722,4913781114412342,
586,2017-01-03 12:33:30,561032065502418532,3565872852409203,S83134A
587,2017-01-03 12:44:57,493642450296865064,30417115040586,W1841
589,2017-01-03 13:04:28,4911107579083984,201976947992697,L230
590,2017-01-03 13:05:11,3554087326413011,6042728556976184,S82871E
593,2017-01-03 13:15:18,3541261738019973,30400751029246,
